Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
779,FIFA 13,X360,2012,Sports,EA Sports  ,EA Canada  ,,,1.1,3.49,0.03,0.5,5.11
780,Resident Evil 5,PS3,2009,Action,Capcom  ,Capcom  ,8.6,8.8,1.96,1.42,1.08,0.64,5.1
781,Fable III,X360,2010,Role-Playing,Microsoft Game Studios  ,Lionhead Studios  ,7.8,,3.59,1.09,0.05,0.37,5.1
782,Guitar Hero World Tour,All,2008,Music,Activision  ,Neversoft  ,,,,,,,
783,Killzone,Series,2004,Shooter,Sony Computer Entertainment  ,Guerrilla Games  ,,,,,,,
784,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega  ,Sega  ,7.0,,1.63,2.46,0.44,0.57,5.1
785,Monument Valley,All,2014,Puzzle,Ustwo Games  ,Ustwo Games  ,,,,,,,
786,Resident Evil,All,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
787,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Rockstar Games  ,Rockstar Leeds  ,8.4,,1.7,2.03,0.16,1.19,5.08
788,FIFA Soccer 11,PS3,2010,Sports,EA Sports  ,EA Canada  ,8.7,,0.61,3.28,0.06,1.12,5.08
789,Super Mario Bros. Deluxe,GB,1999,Platform,Nintendo  ,Nintendo EAD  ,9.7,,3.4,1.3,0.15,0.22,5.07
790,Final Fantasy XV,PS4,2016,Role-Playing,Square Enix  ,Square Enix  ,8.1,9.0,1.81,1.53,1.05,0.68,5.07
791,Disgaea,Series,2003,Role-Playing,Atlus  ,Nippon Ichi Software  ,,,,,,,
792,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.4,,2.94,1.62,0.02,0.45,5.03
793,Tony Hawk's Pro Skater,PS,1999,Sports,Activision  ,Neversoft Entertainment  ,9.6,,3.42,1.38,0.02,0.2,5.02
794,Warzone 2100,PS,1999,Strategy,Eidos Interactive  ,Pumpkin Studios  ,,,2.79,1.89,,0.33,5.01
795,Anthem,All,2019,Role-Playing,Electronic Arts  ,BioWare  ,,,,,,,
796,Asterix,Series,1983,Action-Adventure,Atari  ,Atari  ,,,,,,,
797,Balatro,All,1924,Strategy,Playstack  ,LocalThunk  ,,,,,,,
798,Batman: Arkham Knight,All,2015,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,
799,Chessmaster,Series,1986,Board Game,Software Country  ,Ubisoft  ,,,,,,,
800,Cities: Skylines,PC,2015,Simulation,Paradox Interactive   ,Colossal Order  ,,,,0.16,,0.01,0.17
801,Close Combat,Series,1996,Strategy,Microsoft  ,Atomic Games  ,,,,,,,
802,Crash Bandicoot 4: It's About Time,All,2020,Platform,Activision  ,Toys for Bob  ,,,,,,,
803,Danganronpa,Series,2014,Adventure,NIS America  ,Spike Chunsoft  ,,,,,,,
804,Dave the Diver,All,1923,Role-Playing,Mintrocket  ,Mintrocket  ,,,,,,,
805,Dead by Daylight,All,2016,Action,Behaviour Interactive  ,Behaviour Interactive  ,,,,,,,
806,Dead Island,All,2011,Action-Adventure,Deep Silver  ,Techland  ,,,,,,,
807,Death Stranding,All,2019,Action-Adventure,Sony Interactive Entertainment  ,Kojima Productions  ,7.7,,,,,,
808,Diablo II: Resurrected,All,2021,Role-Playing,Blizzard Entertainment  ,Vicarious Visions  ,,,,,,,
809,Dying Light 2 Stay Human,All,1922,Action-Adventure,Techland  ,Techland  ,,,,,,,
810,Elden Ring: Shadow of the Erdtree,All,1924,Role-Playing,Bandai Namco Entertainment  ,From Software  ,,,,,,,
811,Enter the Matrix,All,2003,Action-Adventure,Atari  ,Shiny Entertainment  ,,,,,,,
812,F-Zero,Series,1991,Racing,Nintendo  ,Nintendo  ,,,,,,,
813,Final Fantasy VII Remake,PS4,2020,Role-Playing,Square Enix  ,Square Enix  ,8.7,,,,,,
814,Finding Nemo,All,2003,Action-Adventure,THQ  ,Traveller's Tales  ,,,,,,,
815,Gears of War,X360,2006,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.4,3.54,1.88,0.07,0.6,6.09
816,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.5,4.15,1.91,0.06,0.64,6.75
817,Ghostbusters,Series,1984,Action,Activision  ,Activision  ,,,,,,,
818,Guitar Hero II,All,2006,Music,RedOctane  ,Harmonix Music Systems  ,9.8,,,,,,
819,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Studios  ,343 Industries  ,8.6,,2.94,1.49,0.03,0.45,4.92
820,Halo: Combat Evolved,XB,2001,Shooter,Microsoft  ,Bungie Studios  ,9.5,,4.98,1.3,0.08,0.07,6.43
821,Hyrule Warriors,Series,2014,Action,Nintendo  ,Omega Force  ,,,,,,,
822,Kerbal Space Program,Series,2015,Simulation,Private Division  ,Squad  ,,,,,,,
823,Kerbal Space Program,All,2015,Simulation,Private Division  ,Squad  ,,,,,,,
824,Killing Floor,PC,2009,Shooter,Tripwire Interactive  ,Tripwire Interactive  ,7.5,,,,,,
825,L.A. Noire,All,2011,Adventure,Rockstar Games  ,Team Bondi  ,,,,,,,
826,Madden NFL 11,All,2010,Sports,EA Sports  ,EA Canada  ,,,,,,,
827,Madden NFL 12,All,2011,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
828,Madden NFL 2004,All,2003,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
829,Medal of Honor (2010),All,2010,Shooter,Electronic Arts  ,Danger Close Games  ,7.0,,,,,,
830,Mortal Kombat 1,All,1923,Fighting,Warner Bros.  ,NetherRealm Studios  ,,,,,,,
831,Need for Speed: Hot Pursuit (2010),All,2010,Racing,Electronic Arts  ,Criterion Games  ,8.7,,,,,,
832,Octopath Traveler,Series,2018,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
833,Peter Jackson's King Kong: The Official Game of the Movie,All,2005,Action-Adventure,Ubisoft  ,Ubisoft Montpellier  ,8.3,,,,,,
834,S.T.A.L.K.E.R.,Series,2007,Shooter,THQ  ,GSC Game World  ,,,,,,,
835,Sea of Thieves,PC,2018,Action-Adventure,Microsoft Studios  ,Rare Ltd.  ,6.7,,,,,,
836,Sea of Thieves,All,2018,Action-Adventure,Xbox Game Studios  ,Rare Ltd.  ,,,,,,,
837,SimCity 3000,PC,1998,Simulation,Electronic Arts  ,Maxis  ,8.5,,,0.0,,0.0,0.0
838,Slime Rancher,All,2017,Simulation,Monomi Park  ,Monomi Park  ,,,,,,,
839,South Park: The Stick of Truth,All,2014,Role-Playing,Ubisoft  ,Obsidian Entertainment  ,,,,,,,
840,Tecmo Bowl,Series,1987,Sports,Tecmo  ,Tecmo  ,,,,,,,
841,The Long Dark,All,2017,Simulation,Hinterland Studio Inc.  ,Hinterland Studio Inc.  ,7.0,,,,,,
842,The Matrix,Series,2003,Action-Adventure,Infogrames  ,Shiny Entertainment  ,,,,,,,
843,The Outer Worlds,Series,2019,Role-Playing,Private Division  ,Obsidian Entertainment  ,,,,,,,
844,The Outer Worlds,All,2019,Role-Playing,Private Division  ,Obsidian Entertainment  ,,,,,,,
845,Torchlight,Series,2009,Role-Playing,Encore  ,Runic Games  ,,,,,,,
846,V Rising,All,1924,Action-Adventure,Stunlock Studios  ,Stunlock Studios  ,,,,,,,
847,Worms,All,1995,Strategy,Ocean Software  ,Team17  ,,,,,,,
848,Guitar Hero III: Legends of Rock,PS2,2007,Misc,RedOctane  ,BudCat Creations  ,8.2,,3.49,0.01,0.01,1.48,4.98
849,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment  ,Naughty Dog  ,8.7,8.6,2.32,1.73,0.12,0.8,4.97
850,Driveclub,PS4,2014,Racing,Sony Computer Entertainment  ,Evolution Studios  ,7.2,,0.37,1.63,0.02,0.36,2.37
851,Dark Souls,All,2011,Role-Playing,Namco Bandai Games  ,From Software  ,,,,,,,
852,Resident Evil 2,PS,1998,Action,Capcom  ,Capcom  ,9.3,,1.88,1.47,2.02,0.45,5.82
853,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,8.6,3.41,0.99,0.09,0.46,4.96
854,Darksiders,Series,2010,Action-Adventure,THQ  ,Vigil Games  ,,,,,,,
855,Splatoon,WiiU,2015,Shooter,Nintendo  ,Nintendo EAD  ,8.4,,1.58,1.3,1.56,0.27,4.71
856,Madden NFL 06,PS2,2005,Sports,EA Sports  ,EA Tiburon  ,9.1,,3.98,0.26,0.01,0.66,4.91
857,Dragon Quest VIII: Journey of the Cursed King,PS2,2005,Role-Playing,Square Enix  ,Level 5 / Armor Project  ,8.6,,0.65,0.75,3.61,0.2,5.21
858,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom  ,Capcom  ,,,,0.0,4.87,0.0,4.87
859,Diddy Kong Racing,N64,1997,Racing,Nintendo  ,Rare Ltd.  ,8.3,,2.91,0.99,0.89,0.1,4.88
860,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,2008,Role-Playing,Nintendo  ,ChunSoft  ,6.4,,1.83,1.19,1.54,0.37,4.94
861,Yoshi,All,1992,Puzzle,Nintendo  ,Game Freak  ,,,,,,,
862,Call of Duty: Black Ops IIII,XOne,2018,Shooter,Activision  ,Treyarch  ,,,3.27,1.12,,0.46,4.85
863,Dr. Mario,NES,1990,Puzzle,Nintendo  ,Nintendo R&D1  ,,,2.62,0.6,1.52,0.1,4.85
864,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,3.36,1.36,0.07,0.21,5.0
865,Crash Bandicoot N. Sane Trilogy,PS4,2017,Platform,Activision  ,Vicarious Visions  ,,,1.09,2.92,0.07,0.74,4.83
866,Assassin's Creed,PS3,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8.5,1.91,2.01,0.09,0.82,4.83
867,DuckTales,Series,1990,Platform,Capcom  ,Capcom  ,,,,,,,
868,Ys,Series,1987,Role-Playing,Nihon Falcom Corp   ,Nihon Falcom  ,,,,,,,
869,Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision  ,Infinity Ward  ,,,2.91,1.44,,0.44,4.79
870,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment  ,Naughty Dog  ,9.2,,2.57,1.57,0.44,0.21,4.79
871,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts  ,Traveller's Tales  ,7.8,,2.83,1.49,,0.45,4.77
872,The Legend of Zelda: Phantom Hourglass,DS,2007,Adventure,Nintendo  ,Nintendo EAD  ,9.1,,1.85,1.8,0.95,0.48,5.09
873,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,,2.99,1.28,0.04,0.44,4.75
874,Tomb Raider: The Last Revelation,All,1999,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
875,Driver 2,PS,2000,Action,Atari  ,Reflections Interactive  ,7.0,,2.36,2.1,0.02,0.25,4.73
876,The Simpsons: Hit & Run,PS2,2003,Racing,VU Games  ,Radical Entertainment  ,7.7,,1.73,2.19,,0.79,4.7
877,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.97,0.61,0.01,0.15,1.74
878,World of Warcraft: Cataclysm,PC,2010,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.0,,1.77,0.32,,,2.09
879,Nintendogs + cats,3DS,2011,Simulation,Nintendo  ,Nintendo EAD  ,7.2,,1.44,1.69,0.73,0.29,4.15
880,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision  ,Neversoft Entertainment  ,9.3,,3.05,1.41,0.02,0.2,4.68
881,Gran Turismo,PSP,2009,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,7.7,9.5,0.43,1.4,0.31,0.78,2.93
882,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts  ,Stormfront Studios  ,8.3,,1.94,1.95,0.08,0.7,4.67
883,Clubhouse Games: 51 Worldwide Classics,NS,2020,Party,Nintendo  ,Nintendo  ,,,,,,,
884,Tomb Raider,PS,1996,Action,Eidos Interactive  ,Core Design Ltd.  ,8.9,,2.29,1.97,0.13,0.24,4.63
885,Donkey Kong Country: Tropical Freeze,NS,2018,Platform,Nintendo  ,Retro Studios  ,9.1,9.1,0.71,0.61,0.26,0.12,1.69
886,God of War,PS2,2005,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,,2.71,1.29,0.02,0.43,4.45
887,The Legend of Zelda: A Link to the Past,SNES,1992,Adventure,Nintendo  ,Nintendo EAD  ,10.0,,2.42,0.91,1.15,0.13,4.61
888,Left 4 Dead,PC,2008,Shooter,Valve Corporation  ,Valve Software  ,8.6,8.5,,0.02,,0.0,0.02
889,Forza Motorsport 4,X360,2011,Racing,Microsoft Studios  ,Turn 10 Studio  ,9.1,,2.08,1.98,0.06,0.49,4.6
890,Ghosts 'n Goblins,Series,1985,Platform,Capcom  ,Capcom  ,,,,,,,
891,Wizardry,Series,1981,Role-Playing,Sirtech  ,Sir-Tech  ,,,,,,,
892,Guitar Hero III: Legends of Rock,Wii,2007,Misc,RedOctane  ,Vicarious Visions  ,8.6,,3.04,1.12,0.0,0.44,4.6
893,Sonic Heroes,All,2004,Platform,Sega  ,Sonic Team  ,,,,,,,
894,BioShock Infinite,PC,2013,Shooter,2K Games  ,Irrational Games  ,,,0.3,0.31,,0.05,0.66
895,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo  ,AlphaDream Corporation  ,9.1,,2.23,0.47,0.81,0.27,3.77
896,FIFA 15,PS3,2014,Sports,EA Sports  ,EA Canada  ,6.9,,0.59,3.25,0.04,0.68,4.56
897,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega  ,Sega  ,6.8,,1.87,1.97,0.22,0.48,4.54
898,Overwatch,PS4,2016,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,8.8,,1.84,1.8,0.17,0.73,4.54
899,Madden NFL 2005,PS2,2004,Sports,EA Sports  ,EA Tiburon  ,9.5,,4.18,0.26,0.01,0.08,4.53
900,Guitar Hero III: Legends of Rock,X360,2007,Misc,RedOctane  ,Neversoft  ,8.7,,3.19,0.91,0.01,0.42,4.53
901,Star Wars Battlefront II (2017),PS4,2017,Shooter,Electronic Arts  ,EA DICE  ,,,1.7,1.99,0.12,0.73,4.53
902,Dead Island,PC,2011,Action,Deep Silver  ,Techland  ,7.1,,0.12,0.07,,0.02,0.22
903,Arma 2: Operation Arrowhead,PC,2010,Shooter,Meridian4  ,Bohemia Interactive  ,,,,,,,
904,DmC: Devil May Cry,All,2013,Action,Capcom  ,Ninja Theory  ,,,,,,,
905,ARK: Survival Evolved,PC,2015,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,,,0.01,,0.0,0.01
906,Call of Duty,All,2003,Shooter,Activision  ,Infinity Ward  ,9.0,,,,,,
907,Control,All,2019,Action-Adventure,505 Games  ,Remedy Entertainment  ,,,,,,,
908,Cult of the Lamb,All,1922,Action-Adventure,Devolver Digital  ,Massive Monster  ,,,,,,,
909,FIFA 08,All,2007,Sports,EA Sports  ,EA Canada  ,,,,,,,
910,FIFA Football 2005,All,2004,Sports,EA Sports  ,EA Canada  ,,,,,,,
911,Grand Theft Auto: Vice City Stories,All,2006,Action-Adventure,Rockstar Games  ,Rockstar Leeds/North  ,,,,,,,
912,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.4,9.2,2.8,2.01,0.17,0.87,5.85
913,Madden NFL 08,All,2007,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
914,Madden NFL 09,All,2008,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
915,Mario Tennis Aces,NS,2018,Sports,Nintendo  ,Camelot Software Planning  ,7.8,,0.71,0.62,0.42,0.12,1.87
916,Might and Magic,Series,1990,Role-Playing,New World Computing  ,New World Computing  ,,,,,,,
917,Monster Hunter 3,All,2010,Role-Playing,Capcom  ,Capcom  ,,,,,,,
918,NBA 2K13,All,2012,Sports,2K Sports  ,Visual Concepts  ,,,,,,,
919,Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb  ,Cyan Worlds  ,,,1.52,0.82,,0.1,2.43
920,This War of Mine,Series,2014,Strategy,11 bit studios  ,11 bit studios  ,,,,,,,
921,This War of Mine,All,2014,Strategy,11 bit studios  ,11 bit studios  ,,,,,,,
922,Warcraft III: Reign of Chaos,PC,2002,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,0.03,0.1,,0.01,0.14
923,You Don't Know Jack,Series,1995,Party,Berkeley Systems  ,Berkeley Systems  ,,,,,,,
924,Professor Layton and the Curious Village,DS,2008,Adventure,Nintendo  ,Level 5  ,8.7,,1.21,2.44,1.03,0.51,5.2
925,Spider-Man: The Movie,PS2,2002,Action,Activision  ,Treyarch  ,8.2,,2.71,1.51,0.03,0.23,4.48
926,Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games  ,Dimps Corporation  ,7.1,,0.54,0.59,0.14,0.23,1.5
927,The Elder Scrolls IV: Oblivion,X360,2009,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,,2.89,1.03,0.13,0.41,4.47
928,The Legend of Zelda: The Wind Waker,GC,2003,Adventure,Nintendo  ,Nintendo EAD  ,9.6,,2.6,0.99,0.89,0.13,4.6
929,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision  ,Neversoft Entertainment  ,9.1,,2.66,1.29,0.01,0.46,4.41
930,Dino Crisis,Series,1999,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
931,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,8.8,,0.1,2.39,1.05,0.86,4.39
932,Death Stranding,PS4,2019,Action-Adventure,Sony Interactive Entertainment  ,Kojima Productions  ,,,,,,,
933,Kirby Star Allies,NS,2018,Platform,Nintendo  ,HAL Laboratory  ,8.1,10.0,0.75,0.41,0.72,0.11,1.99
934,Zelda II: The Adventure of Link,NES,1988,Adventure,Nintendo  ,Nintendo EAD  ,,,2.19,0.5,1.61,0.08,4.38
935,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft  ,Ubisoft Montpellier  ,5.6,,2.64,1.33,0.01,0.39,4.37
936,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft  ,Massive Entertainment  ,,,1.49,2.04,0.16,0.69,4.37
937,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts  ,EA Canada  ,8.6,,2.03,1.79,0.08,0.47,4.37
938,Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,1.29,2.06,0.36,0.64,4.36
939,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision  ,High Moon Studios  ,9.1,,2.81,1.13,0.0,0.41,4.34
940,Watch Dogs,PS4,2014,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,1.4,2.13,0.11,0.68,4.32
941,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo  ,Nintendo EAD  ,7.1,8.8,1.84,1.13,1.32,0.36,4.65
942,Dragon Ball FighterZ,PS4,2018,Fighting,Namco Bandai Games  ,Arc System Works  ,,,0.61,0.51,0.12,0.23,1.46
943,Starbound,PC,2014,Misc,"Infocom, Inc.  ",Unknown  ,,,,,,,
944,Asteroids,2600,1981,Shooter,Atari  ,Atari  ,,,4.0,0.26,,0.05,4.31
945,Batman: Arkham Asylum,All,2009,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,
946,Dragon Quest VII,PS,2001,Role-Playing,Enix  ,Heart Beat  ,8.0,3.0,0.2,0.14,4.1,0.02,4.47
947,Monster Hunter Generations,3DS,2016,Action,Capcom  ,Capcom  ,8.8,,0.42,0.26,2.82,0.07,3.56
948,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.71,0.47,0.12,0.24,1.54
949,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive  ,Rocksteady Studios  ,9.0,,2.26,1.33,0.07,0.63,4.28
950,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision  ,High Moon Studios  ,9.1,,1.59,1.81,0.2,0.67,4.27
951,God of War II,PS2,2007,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,9.8,2.32,0.04,0.04,1.67,4.07
952,The Legend of Zelda: A Link Between Worlds,3DS,2013,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.53,1.31,0.47,0.26,3.57
953,Namco Museum,GBA,2001,Misc,Namco  ,Mass Media  ,,,3.0,1.11,0.05,0.07,4.24
954,Super Paper Mario,Wii,2007,Platform,Nintendo  ,Intelligent Systems  ,8.5,,1.95,0.87,0.59,0.32,3.73
955,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.41,2.03,0.1,0.69,4.23
956,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft  ,Ubisoft Montreal  ,7.9,,2.28,1.47,0.04,0.44,4.22
957,FIFA Soccer 06,PS2,2005,Sports,EA Sports  ,EA Canada  ,8.4,,0.78,2.55,0.04,0.84,4.21
958,Counter-Strike,PC,2000,Misc,Sierra Studios  ,Unknown  ,,,,,,,
959,Monster Hunter 4 Ultimate,3DS,2015,Role-Playing,Capcom  ,Capcom  ,8.8,,0.72,0.49,2.63,0.12,3.96
960,Okami,Series,2006,Action-Adventure,Capcom  ,Clover Studio  ,,,,,,,
961,Perfect Dark,Series,2000,Shooter,Rare  ,Rare  ,,,,,,,
962,Street Fighter IV,PS3,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.0,2.04,1.05,0.59,0.52,4.19
963,7 Days to Die,PC,2013,Action,The Fun Pimps   ,The Fun Pimps  ,,,,,,,
964,FIFA Soccer 12,X360,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.85,2.79,0.02,0.52,4.18
965,Call of Duty: Ghosts,PS4,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,1.79,1.64,0.05,0.69,4.17
966,Teenage Mutant Ninja Turtles,NES,1989,Platform,Ultra Games  ,Konami  ,5.9,,3.38,0.44,0.31,0.04,4.17
967,Just Cause 2,PC,2010,Action,Eidos Interactive  ,Avalanche Studios  ,8.2,,,0.11,,0.02,0.12
968,Excitebike,NES,1985,Racing,Nintendo  ,Nintendo R&D1  ,,,2.04,0.48,1.57,0.07,4.16
969,Tennis,All,1985,Sports,Nintendo  ,Nintendo  ,,,,,,,
970,Frogger,PS,1997,Action,Hasbro Interactive  ,Millenium Interactive  ,,,3.79,0.27,,0.11,4.16
971,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts  ,EA DICE  ,6.9,,2.49,1.26,0.02,0.38,4.15
972,FIFA 14,X360,2013,Sports,EA Sports  ,EA Canada  ,,,0.94,2.92,0.01,0.29,4.15
973,The Legend of Zelda: Skyward Sword HD,NS,2021,Action-Adventure,Nintendo  ,Nintendo  ,,6.0,,,,,
974,Madden NFL 2003,PS2,2002,Sports,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14
975,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.25,2.16,0.09,0.65,4.14
976,Destiny 2,PS4,2017,Shooter,Activision  ,Bungie  ,,,1.92,1.44,0.1,0.69,4.14
977,Fire Emblem: Three Houses,NS,2019,Role-Playing,Nintendo  ,Intelligent Systems  ,,10.0,,,,,
978,Shadow of the Tomb Raider,All,2018,Action-Adventure,Square Enix  ,Eidos Montreal  ,,,,,,,
979,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo  ,Nintendo EAD  ,9.0,,1.65,0.61,1.76,0.09,4.12
980,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,8.1,,1.65,1.68,0.11,0.66,4.11
981,FIFA 07 Soccer,PS2,2006,Sports,EA Sports  ,Team Fusion  ,8.4,,0.71,2.48,0.03,0.89,4.11
982,The Sims 4,PC,2014,Simulation,Electronic Arts  ,Maxis  ,7.0,,1.2,2.6,,0.3,4.1
983,Monster Hunter 4,3DS,2013,Role-Playing,Capcom  ,Capcom  ,,,,,3.44,,3.44
984,Sakura Wars,Series,2010,Role-Playing,Sega  ,Red Entertainment  ,,,,,,,
985,Sengoku BASARA,Series,2005,Action,Capcom  ,Capcom  ,,,,,,,
986,Street Fighter 6,All,1923,Fighting,Capcom  ,Capcom  ,9.1,,,,,,
987,Street Fighter II Turbo,SNES,1993,Fighting,Capcom  ,Capcom  ,9.0,,1.42,0.51,2.1,0.07,4.1
988,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58
989,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,2.67,1.03,0.04,0.34,4.08
990,Rhythm Heaven,Series,2009,Music,Nintendo  ,Nintendo  ,,,,,,,
991,Assassin's Creed Origins,PS4,2017,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.22,2.11,0.11,0.63,4.06
992,Far Cry 4,PS4,2014,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.4,,1.18,2.14,0.11,0.63,4.06
993,Carnival Games,Wii,2007,Misc,Global Star Software  ,Cat Daddy Games  ,4.2,,2.12,1.47,0.05,0.42,4.06
994,World Soccer Winning Eleven 9,PS2,2006,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,8.9,,0.12,2.26,0.9,0.77,4.06
995,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.1,,2.35,1.27,0.03,0.41,4.05
996,Namco Museum Vol.3,PS,1997,Misc,Namco  ,Namco  ,,,2.28,1.55,0.16,0.06,4.05
997,Tekken Tag Tournament,PS2,2000,Fighting,Namco  ,Namco  ,8.7,,1.68,1.51,0.51,0.35,4.05
998,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment  ,Supermassive Games Ltd.  ,,,0.62,0.92,0.06,0.3,1.9
999,Super Mario Maker,WiiU,2015,Platform,Nintendo  ,Nintendo EAD  ,8.8,,1.27,0.94,1.03,0.21,3.45
1000,Golf,NES,1985,Sports,Nintendo  ,Nintendo  ,,,1.22,0.28,2.46,0.04,4.01
1001,BioShock,All,2007,Shooter,2K Games  ,2K Boston  ,,,,,,,
1002,Company of Heroes,Series,2006,Strategy,THQ  ,Relic Entertainment  ,,,,,,,
1003,Crusader Kings,Series,2004,Strategy,Paradox Interactive   ,Paradox Development  ,,,,,,,
1004,DayZ,PC,2012,Action-Adventure,Bohemia Interactive  ,Bohemia Interactive  ,,,,,,,
1005,Dead Space 2,All,2011,Action-Adventure,Electronic Arts  ,Visceral Games  ,,,,,,,
1006,Diablo II,PC,2000,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,8.8,,0.01,0.11,,0.02,0.14
1007,Disney's Aladdin,GEN,1993,Platform,Sega  ,Virgin Interactive  ,,,,,,,
1008,Driver,All,1999,Action-Adventure,GT Interactive  ,Reflections Interactive  ,,,,,,,
1009,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,7.5,,0.88,2.3,0.2,0.83,4.2
1010,Far Cry Primal,All,2016,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
